TS_04,Pre-Sales Lead Stage Progression,,,,,
TestCaseID,TC_04_01,,,,,
TestCaseName,PS-02: Move Fesh lead from  to Connected,,,,,
BaseURL,https://tts-crm-ochre.vercel.app,,,,,
PreCondition,"User should be ISA , Lead status = Fresh Lead;",,,,,
Priority-Severity,High-Critical,,,,,
TestingType,Positive,,,,,
SI.No,Description,TestData,ExpectedResult,ActualResult,Status,DefectComments
1,click the Lead from theLeads page,,User should land on Leads Overview page,User should land on Leads Overview page,pass,NA
2,"Change status to ""Connected""",Status: Connected,"Sub-status dropdown appears with Connected sub-statuses: Requirement Discussion, Callback Requested, Follow-up Pending, Interested, Exploring Options, No Immediate Requirement, Not Qualified, Junk and ""Requirement Discussion"" should be auto selected","Sub-status dropdown appears with Connected sub-statuses: Requirement Discussion, Callback Requested, Follow-up Pending, Interested, Exploring Options, No Immediate Requirement, Not Qualified, Junk and ""Requirement Discussion"" should be auto selected",pass,NA
3,"Next follow-up date and time and Budget Range should become Mandatory fields, set the required fields",Follow-up Date and Time : Set TimeStamp," Next follow-up date and time and Budget Range should become Mandatory fields, Date and time accepted"," Next follow-up date and time and Budget Range should become Mandatory fields, Date and time accepted",pass,NA
4,Click Save,,Lead saved; stage bar highlights Connected; Leads Page logs transition from Fresh Lead to Connected,Lead saved; stage bar highlights Connected; Lead page logs transition from Fresh Lead to Connected,pass,NA
Author : ,Mary Ferdinant Samson S,,,,,
Reviewed By :,,,,,,
Creation Date :,15-05-2026,,,,,
Revision Date :,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TS_04,Pre-Sales Lead Stage Progression,,,,,
TestCaseID,TC_04_02,,,,,
TestCaseName,PS-08: Move lead from Connected to Qualified,,,,,
BaseURL,https://tts-crm-ochre.vercel.app,,,,,
PreCondition,Lead status = Connected; logged in as ISA,,,,,
Priority-Severity,High-Critical,,,,,
TestingType,Positive,,,,,
SI.No,Description,TestData,ExpectedResult,ActualResult,Status,DefectComments
1,click the Lead from theLeads page,,User should land on Leads Overview page,User should land on Leads Overview page,pass,NA
2,"Change status to ""Qualfied""",Status: Qualified,"Sub-status dropdown appears with Qualified sub-statuses: Consultation Recommended, Follow-up Ongoing, Considering Options, Discussing Internally, Awaiting Confirmation. And Consultation Recommended can be autoselected","Sub-status dropdown appears with Qualified sub-statuses: Consultation Recommended, Follow-up Ongoing, Considering Options, Discussing Internally, Awaiting Confirmation.",pass,NA
3,Click Save,,Lead saved; stage bar highlights Qualified; Lead Page logs transition from Connected to Qualified,Lead saved; stage bar highlights Qualified; Lead Page logs transition from Connected to Qualified,pass,NA
Author : ,Mary Ferdinant Samson S,,,,,
Reviewed By :,,,,,,
Creation Date :,15-05-2026,,,,,
Revision Date :,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TS_04,Pre-Sales Lead Stage Progression,,,,,
TestCaseID,TC_04_03,,,,,
TestCaseName,PS-09: Move lead from Qualified to Meeting Scheduled,,,,,
BaseURL,https://tts-crm-ochre.vercel.app,,,,,
PreCondition,Lead status = Qualified; qualification fields filled; email captured; logged in ISA,,,,,
Priority-Severity,High-Critical,,,,,
TestingType,Positive,,,,,
SI.No,Description,TestData,ExpectedResult,ActualResult,Status,DefectComments
1,click the Lead from theLeads page,,User should land on Leads Overview page,User should land on Leads Overview page,pass,NA
2,"Change status to ""Meeting Scheduled""","Status: ""Meeting Scheduled""","Sub-status dropdown appears with Meeting Scheduled  sub-statuses: Store visit Scheduled, Site Visit Scheduled, Confirmation Pending, Follow-up Pending, Rescheduled, No show, Lost and Confirmation Pending is Autoselected","Sub-status dropdown appears with Meeting Scheduled  sub-statuses: Store visit Scheduled, Site Visit Scheduled, Confirmation Pending, Follow-up Pending, Rescheduled, No show, Lost and Confirmation Pending is Autoselected",pass,NA
3,"Meeting type and Preferred Meeting Time should become Mandatory fields; Meeting Type DropDown : Store visit, Site visit, Virtual",Meeting type : Store Visit and Meeting Time : Date and Time,Meeting Type and Meeting Time Accepted,Meeting Type and Meeting Time Accepted,pass,NA
4,Click Save,,Lead saved; stage bar highlights Meeting Scheduled; Lead pagelogs transition from Qualified to Meeting Scheduled,Lead saved; stage bar highlights Meeting Scheduled; Lead Page logs transition from Qualified to Meeting Scheduled,pass,NA
Author : ,Mary Ferdinant Samson S,,,,,
Reviewed By :,,,,,,
Creation Date :,15-05-2026,,,,,
Revision Date :,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TS_04,Pre-Sales Lead Stage Progression,,,,,
TestCaseID,TC_04_04,,,,,
TestCaseName,Stage bar color changes on each status transition,,,,,
